"light_bias","v_mean","Y","p_bite","r_scale","N1","N2","N3","N4","total"
0,1.2,0,0.2,0.35,0,2,9,5,16
0.25,1.2,0,0.2,0.35,0,1,10,2,13
0.5,1.2,0,0.2,0.35,0,1,15,5,21
0.75,1.2,0,0.2,0.35,0,3,17,4,24
1,1.2,0,0.2,0.35,0,0,0,0,0
0,1.6,0,0.2,0.35,0,2,19,5,26
0.25,1.6,0,0.2,0.35,0,0,12,5,17
0.5,1.6,0,0.2,0.35,0,0,11,9,20
0.75,1.6,0,0.2,0.35,0,1,18,4,23
1,1.6,0,0.2,0.35,0,0,0,17,17
0,0.8,1,0.2,0.35,0,1,10,4,15
0.25,0.8,1,0.2,0.35,0,1,18,4,23
0.5,0.8,1,0.2,0.35,0,1,7,6,14
0.75,0.8,1,0.2,0.35,0,1,15,5,21
1,0.8,1,0.2,0.35,0,0,28,0,28
0,1.2,1,0.2,0.35,1,3,16,7,27
0.25,1.2,1,0.2,0.35,0,1,14,6,21
0.5,1.2,1,0.2,0.35,0,3,18,10,31
0.75,1.2,1,0.2,0.35,0,0,15,3,18
1,1.2,1,0.2,0.35,0,0,0,0,0
0,1.6,1,0.2,0.35,0,3,17,5,25
0.25,1.6,1,0.2,0.35,0,2,15,9,26
0.5,1.6,1,0.2,0.35,0,1,16,6,23
0.75,1.6,1,0.2,0.35,0,1,10,5,16
1,1.6,1,0.2,0.35,0,0,0,0,0
0,0.8,2,0.2,0.35,0,0,13,6,19
0.25,0.8,2,0.2,0.35,0,0,25,5,30
0.5,0.8,2,0.2,0.35,0,0,21,7,28
0.75,0.8,2,0.2,0.35,0,0,45,6,51
1,0.8,2,0.2,0.35,0,0,0,0,0
0,1.2,2,0.2,0.35,0,4,15,8,27
0.25,1.2,2,0.2,0.35,0,3,17,8,28
0.5,1.2,2,0.2,0.35,0,0,17,6,23
0.75,1.2,2,0.2,0.35,0,4,19,3,26
1,1.2,2,0.2,0.35,0,0,0,0,0
0,1.6,2,0.2,0.35,0,1,14,2,17
0.25,1.6,2,0.2,0.35,0,4,18,8,30
0.5,1.6,2,0.2,0.35,0,2,19,5,26
0.75,1.6,2,0.2,0.35,0,2,18,4,24
1,1.6,2,0.2,0.35,0,0,0,0,0
0,0.8,3,0.2,0.35,0,0,27,4,31
0.25,0.8,3,0.2,0.35,0,1,20,10,31
0.5,0.8,3,0.2,0.35,0,0,31,5,36
0.75,0.8,3,0.2,0.35,0,0,15,5,20
1,0.8,3,0.2,0.35,0,0,0,0,0
0,1.2,3,0.2,0.35,1,0,12,2,15
0.25,1.2,3,0.2,0.35,0,2,18,8,28
0.5,1.2,3,0.2,0.35,0,0,12,5,17
0.75,1.2,3,0.2,0.35,0,2,15,9,26
1,1.2,3,0.2,0.35,0,0,0,0,0
0,1.6,3,0.2,0.35,2,0,12,2,16
0.25,1.6,3,0.2,0.35,0,2,9,7,18
0.5,1.6,3,0.2,0.35,0,2,15,6,23
0.75,1.6,3,0.2,0.35,0,1,7,2,10
1,1.6,3,0.2,0.35,0,0,0,47,47
0,0.8,0,0.35,0.35,0,2,22,8,32
0.25,0.8,0,0.35,0.35,0,0,22,6,28
0.5,0.8,0,0.35,0.35,0,3,28,13,44
0.75,0.8,0,0.35,0.35,0,0,25,15,40
1,0.8,0,0.35,0.35,0,0,19,0,19
0,1.2,0,0.35,0.35,0,1,21,7,29
0.25,1.2,0,0.35,0.35,0,2,28,8,38
0.5,1.2,0,0.35,0.35,0,5,18,9,32
0.75,1.2,0,0.35,0.35,0,1,19,9,29
1,1.2,0,0.35,0.35,0,0,19,0,19
0,1.6,0,0.35,0.35,0,2,19,12,33
0.25,1.6,0,0.35,0.35,0,5,20,6,31
0.5,1.6,0,0.35,0.35,0,1,14,7,22
0.75,1.6,0,0.35,0.35,0,2,30,14,46
1,1.6,0,0.35,0.35,0,0,18,0,18
0,0.8,1,0.35,0.35,1,2,23,12,38
0.25,0.8,1,0.35,0.35,0,2,21,9,32
0.5,0.8,1,0.35,0.35,0,1,21,9,31
0.75,0.8,1,0.35,0.35,0,4,27,3,34
1,0.8,1,0.35,0.35,0,0,0,0,0
0,1.2,1,0.35,0.35,1,1,30,7,39
0.25,1.2,1,0.35,0.35,0,4,19,8,31
0.5,1.2,1,0.35,0.35,0,1,26,7,34
0.75,1.2,1,0.35,0.35,0,1,21,8,30
1,1.2,1,0.35,0.35,0,0,50,0,50
0,1.6,1,0.35,0.35,2,4,28,10,44
0.25,1.6,1,0.35,0.35,0,1,27,13,41
